TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
2014-10-15,TQTF,FXRU ETF,FXRU,3,2030377.4,3745.8,3700.0,3745.8,3700.0,3725.5,3700.0,545,,3678.8,,0.0,4318869.7,0.0,805044.25
2014-10-16,TQTF,FXRU ETF,FXRU,2,905080.0,3740.0,3740.0,3740.0,3740.0,3740.0,3740.0,242,3722.1,3722.1,3722.1,3893343.7,3893343.7,3893343.7,805044.25
2014-10-17,TQTF,FXRU ETF,FXRU,3,898939.8,3739.8,3730.0,3739.8,3730.0,3730.0,3730.0,241,3724.0,3724.3,3724.0,4751766.8,4722397.2,4751766.8,805044.25
2014-10-20,TQTF,FXRU ETF,FXRU,2,906290.0,3745.0,3745.0,3745.0,3745.0,3745.0,3745.0,242,3727.6,3732.8,3727.6,5628687.2,4740687.2,5628687.2,805044.25
2014-10-21,TQTF,FXRU ETF,FXRU,4,1621870.0,3745.0,3729.0,3745.0,3740.0,3737.0,3740.0,434,3733.9,3737.6,3733.9,6362557.2,3879639.8,6362557.2,805044.25
2014-10-22,TQTF,FXRU ETF,FXRU,4,1022627.0,3743.0,3743.0,3746.0,3745.0,3745.9,3745.0,273,3741.6,3741.6,3741.6,3550787.0,3550787.0,3550787.0,805044.25
2014-10-23,TQTF,FXRU ETF,FXRU,3,914574.2,3774.2,3774.2,3795.0,3795.0,3794.9,3795.0,241,3754.3,3754.8,3754.3,3559071.2,3371821.2,3559071.2,805044.25
2014-10-24,TQTF,FXRU ETF,FXRU,4,924462.3,3831.6,3820.0,3831.6,3820.0,3820.1,3820.0,242,3785.3,3785.3,3785.3,2861663.5,2857920.5,2861663.5,805044.25
2014-10-27,TQTF,FXRU ETF,FXRU,5,965272.0,3841.0,3841.0,3864.0,3845.0,3845.7,3845.0,251,3820.6,3825.7,3820.6,2804308.5,2345134.3,2804308.5,805044.25
2014-10-28,TQTF,FXRU ETF,FXRU,4,955960.0,3880.0,3870.0,3880.0,3870.0,3870.3,3870.0,247,3845.5,3850.5,3845.5,2845694.3,2379632.0,2845694.3,805044.25
2014-10-29,TQTF,FXRU ETF,FXRU,7,1017714.3,3871.0,3580.0,3920.0,3920.0,3914.3,3920.0,260,3892.8,3893.0,3892.8,1973674.3,1954274.3,1973674.3,805044.25
2014-10-30,TQTF,FXRU ETF,FXRU,3,3874421.0,3890.1,3807.0,3890.1,3835.9,3862.8,3835.9,1003,3873.4,3873.4,3873.4,4892135.3,4892135.3,4892135.3,805044.25
2014-10-31,TQTF,FXRU ETF,FXRU,2,77100.0,3855.0,3855.0,3855.0,3855.0,3855.0,3855.0,20,3873.1,3873.3,3873.1,4969235.3,4919122.3,4969235.3,805044.25
2014-11-03,TQTF,FXRU ETF,FXRU,0,0.0,,,,3855.0,,,0,3872.7,3873.3,3872.7,5925195.3,4919122.3,5925195.3,715857.26
2014-11-05,TQTF,FXRU ETF,FXRU,4,1150169.0,4028.3,4028.3,4080.0,4080.0,4049.9,4080.0,284,3905.2,3904.8,3905.2,6119404.3,5572090.0,6119404.3,715857.26
2014-11-06,TQTF,FXRU ETF,FXRU,2,8233.9,4127.9,4106.0,4127.9,4106.0,4117.0,4106.0,2,3903.7,3912.1,3903.7,5109923.9,3164873.9,5109923.9,715857.26
2014-11-07,TQTF,FXRU ETF,FXRU,1,8410.2,4205.1,4205.1,4205.1,4205.1,4205.1,4205.1,2,3886.5,3913.2,3886.5,8981742.7,3161863.1,8981742.7,715857.26
2014-11-10,TQTF,FXRU ETF,FXRU,3,1025041.0,4104.1,4100.0,4104.1,4100.0,4100.2,4100.0,250,4074.1,4074.1,4074.1,2191854.1,2191854.1,2191854.1,715857.26
2014-11-11,TQTF,FXRU ETF,FXRU,6,1088193.9,4176.2,4176.2,4220.0,4219.9,4217.8,4215.0,258,4160.1,4160.1,4160.1,2121645.1,2121645.1,2121645.1,715857.26
2014-11-12,TQTF,FXRU ETF,FXRU,2,1013980.0,4190.0,4190.0,4190.0,4190.0,4190.0,4190.0,242,4169.6,4170.5,4169.6,3127214.9,3086173.9,3127214.9,715857.26
2014-11-13,TQTF,FXRU ETF,FXRU,3,1007611.0,4191.0,4180.0,4191.0,4180.0,4181.0,4180.0,241,4196.7,4196.8,4196.7,3109784.9,3097256.3,3109784.9,715857.26
2014-11-14,TQTF,FXRU ETF,FXRU,4,2133168.0,4284.0,4230.0,4284.0,4230.0,4249.3,4230.0,502,4198.3,4218.0,4198.3,6267993.9,4167404.0,6267993.9,715857.26
2014-11-17,TQTF,FXRU ETF,FXRU,3,855697.8,4215.0,4215.0,4232.6,4215.3,4215.3,4232.6,203,4224.6,4224.6,4224.6,3996476.8,3996476.8,3996476.8,715857.26
2014-11-18,TQTF,FXRU ETF,FXRU,5,1310489.7,4198.9,4165.8,4198.9,4190.0,4186.9,4190.0,313,4223.3,4207.0,4223.3,4299355.5,3012187.5,4299355.5,715857.26
2014-11-19,TQTF,FXRU ETF,FXRU,5,1087962.0,4210.8,4180.0,4210.8,4180.0,4184.5,4180.0,260,4185.8,4185.8,4185.8,2398451.7,2398451.7,2398451.7,715857.26
2014-11-20,TQTF,FXRU ETF,FXRU,6,937327.0,4150.0,4113.0,4150.0,4113.4,4129.2,4113.0,227,4158.7,4157.6,4158.7,2025289.0,1983181.0,2025289.0,715857.26
2014-11-21,TQTF,FXRU ETF,FXRU,10,1320236.5,4087.7,4044.7,4087.7,4080.0,4074.8,4080.0,324,4074.8,4074.8,4074.8,1320236.5,1320236.5,1320236.5,715857.26
2014-11-24,TQTF,FXRU ETF,FXRU,1,48120.0,4010.0,4010.0,4010.0,4010.0,4010.0,4010.0,12,4072.5,4071.8,4072.5,1368356.5,1307041.0,1368356.5,715857.26
2014-11-25,TQTF,FXRU ETF,FXRU,3,959850.0,4080.0,4080.0,4110.0,4110.0,4084.5,4110.0,235,4077.4,4077.0,4077.4,2328206.5,2177107.0,2328206.5,715857.26
2014-11-26,TQTF,FXRU ETF,FXRU,5,935525.5,4151.1,4151.1,4200.0,4200.0,4195.2,4200.0,223,4114.7,4124.4,4114.7,4201059.0,2404535.5,4201059.0,715857.26
2014-11-27,TQTF,FXRU ETF,FXRU,5,569834.5,4271.3,4204.6,4271.3,4204.6,4252.5,4204.6,134,4216.7,4216.7,4216.7,1505360.0,1505360.0,1505360.0,715857.26
2014-11-28,TQTF,FXRU ETF,FXRU,4,946093.5,4400.0,4400.0,4407.7,4406.2,4400.4,4403.3,215,4285.8,4311.6,4285.8,2451453.5,1935928.0,2451453.5,715857.26
2014-12-01,TQTF,FXRU ETF,FXRU,8,2092650.0,4610.0,4560.0,4660.0,4590.0,4600.0,4590.0,455,4540.0,4590.0,4540.0,3038743.5,2158743.5,3038743.5,829748.09
2014-12-02,TQTF,FXRU ETF,FXRU,2,420240.0,4480.0,4480.0,4680.0,4680.0,4520.0,4680.0,93,4590.0,4590.0,4590.0,2512890.0,2512890.0,2512890.0,829748.09
2014-12-03,TQTF,FXRU ETF,FXRU,5,1226930.0,4620.0,4550.0,4620.0,4570.0,4560.0,4570.0,269,4580.0,4560.0,4580.0,3739820.0,2651810.0,3739820.0,829748.09
2014-12-04,TQTF,FXRU ETF,FXRU,4,1105200.0,4530.0,4530.0,4620.0,4620.0,4610.0,4620.0,240,4570.0,4590.0,4570.0,2752370.0,2416370.0,2752370.0,829748.09
2014-12-05,TQTF,FXRU ETF,FXRU,6,328320.0,4600.0,4500.0,4600.0,4510.0,4560.0,4500.0,72,4590.0,4590.0,4590.0,1433520.0,1433520.0,1433520.0,829748.09
2014-12-08,TQTF,FXRU ETF,FXRU,3,1008200.0,4500.0,4460.0,4500.0,4460.0,4460.0,4460.0,226,4540.0,4520.0,4540.0,2441720.0,1798520.0,2441720.0,829748.09
2014-12-09,TQTF,FXRU ETF,FXRU,6,1947200.0,4540.0,4460.0,4540.0,4480.0,4510.0,4480.0,432,4500.0,4490.0,4500.0,3283720.0,3067900.0,3283720.0,829748.09
2014-12-10,TQTF,FXRU ETF,FXRU,5,1048560.0,4500.0,4460.0,4500.0,4480.0,4480.0,4500.0,234,4500.0,4480.0,4500.0,2995760.0,2087760.0,2995760.0,829748.09
